Data Folder Directory,isomer,sphingoidBackbone,chainLength,unsaturationUnit
C:\Users\Public\Sample_jdx\Gal\1uM_b-GalCerC16-1_in_stdmixture,Gal,d18:1,16,1
C:\Users\Public\Sample_jdx\Gal\1uM_b-GalCerC21_in_stdmixture,Gal,d18:1,21,0
C:\Users\Public\Sample_jdx\Glc\1uM_b-GlcCerC16-1_in_stdmixture,Glc,d18:1,16,1
C:\Users\Public\Sample_jdx\Glc\1uM_b-GlcCerC21_in_stdmixture,Glc,d18:1,21,0
