Data Folder Directory,isomer,sphingoidBackbone,chainLength,unsaturationUnit
C:\Usersn\Desktop\test data\1uM b-GlcCer C20 in mix of 17 Glc_DMS_20201028112027 #1,Glc,d18:1,20,0
C:\Usersn\Desktop\test data\1uM b-GalCer C16-1 in mix of 17 Gal_DMS_20201028160306 #1,Gal,d18:1,16,1
